transaction_id,user_id,transaction_date,amount,status
T000084,U00203,2025-03-16,1000,success
T000085,U00208,2025-03-11,10000,success
T000086,U00214,2025-01-11,1000,success
T000087,U00215,2025-01-31,2000,success
T000088,U00219,2025-03-27,5000,success
T000089,U00221,2025-03-06,1000,success
T000090,U00225,2025-04-01,10000,success
T000091,U00228,2025-04-11,5000,success
T000092,U00233,2025-03-22,1000,success
T000093,U00235,2025-01-06,10000,success
T000094,U00236,2025-04-16,2000,success
T000095,U00241,2025-03-07,5000,success
T000096,U00246,2025-02-16,10000,success
T000097,U00248,2025-03-22,10000,success
T000098,U00249,2025-03-05,2000,success
T000099,U00250,2025-05-02,1000,success
T000100,U00251,2025-02-05,1000,success
T000101,U00252,2025-04-06,10000,success
T000102,U00254,2025-04-20,20000,success
T000103,U00256,2025-04-27,1000,success
T000104,U00257,2025-03-05,1000,success
T000105,U00259,2025-03-02,10000,success
T000106,U00266,2025-04-15,2000,success
T000107,U00268,2025-03-01,1000,success
T000108,U00271,2025-04-26,1000,success
T000109,U00273,2025-01-07,2000,success
T000110,U00274,2025-04-05,20000,success
T000111,U00275,2025-02-27,20000,success
T000112,U00278,2025-04-06,2000,success
T000113,U00279,2025-04-11,20000,success
T000114,U00282,2025-01-03,1000,success
T000115,U00285,2025-03-31,10000,success
T000116,U00287,2025-03-16,1000,success
T000117,U00288,2025-02-01,10000,success
T000118,U00289,2025-04-29,2000,success
T000119,U00291,2025-02-25,1000,success
T000120,U00292,2025-03-17,20000,success
T000121,U00295,2025-02-09,1000,success
T000122,U00301,2025-03-28,20000,success
T000123,U00302,2025-01-15,1000,success
T000124,U00303,2025-04-23,1000,success
T000125,U00304,2025-01-22,10000,success
T000126,U00305,2025-04-09,5000,success
T000127,U00308,2025-03-14,2000,success
T000128,U00311,2025-01-07,1000,success
T000129,U00312,2025-01-23,5000,success
T000130,U00314,2025-02-06,2000,success
T000131,U00315,2025-01-22,2000,success
T000132,U00317,2025-03-11,5000,success
T000133,U00318,2025-01-19,5000,success
T000134,U00321,2025-03-12,20000,success
T000135,U00325,2025-02-13,5000,success
T000136,U00329,2025-01-02,2000,success
T000137,U00330,2025-01-16,2000,success
T000138,U00331,2025-04-04,2000,success
T000139,U00334,2025-02-22,1000,success
T000140,U00338,2025-02-12,2000,success
T000141,U00339,2025-04-13,10000,success
T000142,U00341,2025-01-22,10000,success
T000143,U00344,2025-04-26,5000,success
T000144,U00347,2025-01-06,5000,success
T000145,U00349,2025-02-23,2000,success
T000146,U00350,2025-01-17,5000,success
T000147,U00353,2025-02-06,10000,success
T000148,U00354,2025-05-02,5000,success
T000149,U00358,2025-01-23,1000,success
T000150,U00363,2025-01-28,5000,success
T000151,U00364,2025-02-27,5000,success
T000152,U00365,2025-05-04,1000,success
T000153,U00367,2025-01-26,1000,success
T000154,U00372,2025-02-09,10000,success
T000155,U00373,2025-02-11,5000,success
T000156,U00375,2025-03-29,10000,success
T000157,U00376,2025-04-10,1000,success
T000158,U00377,2025-04-24,1000,success
T000159,U00380,2025-01-25,1000,success
T000160,U00383,2025-04-20,2000,success
T000161,U00386,2025-02-25,2000,success
T000162,U00389,2025-03-04,10000,success
T000163,U00393,2025-03-10,5000,success
T000164,U00394,2025-02-05,20000,success
T000165,U00398,2025-01-25,1000,success
T000166,U00400,2025-01-10,1000,success
T000167,U00401,2025-01-08,1000,success
T000168,U00402,2025-03-13,2000,success
T000169,U00404,2025-02-04,1000,success
T000170,U00405,2025-02-23,5000,success
T000171,U00406,2025-03-21,1000,success
T000172,U00407,2025-03-02,1000,success
T000173,U00408,2025-04-29,2000,success
T000174,U00409,2025-03-29,2000,success
T000175,U00410,2025-04-30,10000,success
T000176,U00415,2025-04-14,10000,success
T000177,U00416,2025-04-23,1000,success
T000178,U00417,2025-02-25,10000,success
T000179,U00418,2025-02-26,5000,success
T000180,U00419,2025-01-10,2000,success
T000181,U00420,2025-01-30,1000,success
T000182,U00422,2025-04-13,5000,success
T000183,U00425,2025-04-11,1000,success
T000184,U00427,2025-04-23,1000,success
T000185,U00430,2025-03-16,1000,success
T000186,U00432,2025-02-22,2000,success
T000187,U00433,2025-01-22,5000,success
T000188,U00436,2025-03-09,10000,success
T000189,U00440,2025-04-03,5000,success
T000190,U00444,2025-04-28,20000,success
T000191,U00446,2025-04-10,10000,success
T000192,U00452,2025-02-16,1000,success
T000193,U00455,2025-04-13,2000,success
T000194,U00456,2025-03-02,2000,success
T000195,U00458,2025-04-27,5000,success
T000196,U00461,2025-02-02,5000,success
T000197,U00464,2025-03-10,5000,success
T000198,U00465,2025-01-20,1000,success
T000199,U00469,2025-02-24,5000,success
T000200,U00471,2025-03-13,1000,success
T000201,U00473,2025-02-17,1000,success
T000202,U00474,2025-01-26,2000,success
T000203,U00477,2025-02-18,5000,success
T000204,U00478,2025-03-30,1000,success
T000205,U00480,2025-03-11,2000,success
T000206,U00482,2025-04-17,2000,success
T000207,U00484,2025-04-02,1000,success
T000208,U00486,2025-04-16,5000,success
T000209,U00487,2025-02-04,1000,success
T000210,U00488,2025-01-11,10000,success
T000211,U00493,2025-04-07,2000,success
T000212,U00495,2025-05-04,2000,success
T000213,U00496,2025-01-28,10000,success
T000214,U00499,2025-01-26,10000,success
T000215,U00500,2025-01-26,10000,success
T000216,U00502,2025-03-07,1000,success
T000217,U00503,2025-01-10,1000,success
T000218,U00504,2025-03-01,5000,success
T000219,U00506,2025-02-20,2000,success
T000220,U00511,2025-01-21,20000,success
T000221,U00514,2025-04-29,2000,success
T000222,U00516,2025-01-15,2000,success
T000223,U00520,2025-02-06,2000,success
T000224,U00521,2025-03-30,10000,success
T000225,U00522,2025-03-06,1000,success
T000226,U00523,2025-03-31,20000,success
T000227,U00526,2025-03-03,2000,success
T000228,U00529,2025-01-26,10000,success
T000229,U00530,2025-02-28,2000,success
T000230,U00532,2025-03-29,10000,success
T000231,U00534,2025-02-23,1000,success
T000232,U00536,2025-03-12,10000,success
T000233,U00537,2025-01-16,2000,success
T000234,U00538,2025-02-24,2000,success
T000235,U00539,2025-04-22,1000,success
T000236,U00540,2025-03-02,5000,success
T000237,U00543,2025-01-14,1000,success
T000238,U00545,2025-03-01,1000,success
T000239,U00546,2025-04-20,1000,success
T000240,U00550,2025-03-12,1000,success
T000241,U00553,2025-04-10,5000,success
T000242,U00554,2025-05-02,1000,success
T000243,U00555,2025-04-06,1000,success
T000244,U00557,2025-04-12,2000,success
T000245,U00562,2025-01-19,2000,success
T000246,U00564,2025-04-19,2000,success
T000247,U00567,2025-01-22,2000,success
T000248,U00574,2025-04-04,2000,success
T000249,U00577,2025-05-02,2000,success
T000250,U00583,2025-01-05,10000,success
T000251,U00585,2025-01-05,1000,success
T000252,U00586,2025-04-23,10000,success
T000253,U00589,2025-04-30,1000,success
T000254,U00590,2025-02-21,5000,success
T000255,U00591,2025-03-31,2000,success
T000256,U00596,2025-01-20,1000,success
T000257,U00598,2025-04-17,5000,success
T000258,U00603,2025-04-03,10000,success
T000259,U00604,2025-04-30,2000,success
T000260,U00606,2025-03-17,2000,success
T000261,U00611,2025-03-29,1000,success
T000262,U00613,2025-01-29,20000,success
T000263,U00615,2025-04-03,10000,success
T000264,U00616,2025-03-13,2000,success
T000265,U00617,2025-02-18,10000,success
T000266,U00618,2025-04-23,2000,success
T000267,U00619,2025-04-06,5000,success
T000268,U00626,2025-04-04,2000,success
T000269,U00628,2025-02-20,2000,success
T000270,U00632,2025-02-04,1000,success
T000271,U00633,2025-04-08,20000,success
T000272,U00634,2025-04-14,10000,success
T000273,U00635,2025-01-26,10000,success
T000274,U00637,2025-05-02,2000,success
T000275,U00638,2025-03-15,1000,success
T000276,U00639,2025-04-12,5000,success
T000277,U00640,2025-02-05,10000,success
T000278,U00641,2025-02-24,20000,success
T000279,U00643,2025-01-10,1000,success
T000280,U00644,2025-01-21,5000,success
T000281,U00646,2025-04-07,5000,success
T000282,U00651,2025-01-07,1000,success
T000283,U00653,2025-01-29,2000,success
T000284,U00655,2025-04-30,1000,success
T000285,U00658,2025-04-02,5000,success
T000286,U00660,2025-04-03,10000,success
T000287,U00661,2025-03-28,10000,success
T000288,U00665,2025-02-06,5000,success
T000289,U00669,2025-02-25,2000,success
T000290,U00670,2025-02-17,5000,success
T000291,U00672,2025-01-16,10000,success
T000292,U00678,2025-02-13,5000,success
T000293,U00679,2025-02-18,2000,success
T000294,U00681,2025-01-13,20000,success
T000295,U00683,2025-04-08,10000,success
T000296,U00684,2025-02-20,10000,success
T000297,U00685,2025-01-07,20000,success
T000298,U00686,2025-04-30,2000,success
T000299,U00692,2025-01-12,10000,success
T000300,U00699,2025-04-15,5000,success
T000301,U00701,2025-03-12,1000,success
T000302,U00703,2025-05-03,5000,success
T000303,U00706,2025-03-20,2000,success
T000304,U00707,2025-01-30,1000,success
T000305,U00709,2025-02-05,20000,success
T000306,U00710,2025-04-02,1000,success
T000307,U00715,2025-03-19,20000,success
T000308,U00718,2025-04-12,1000,success
T000309,U00720,2025-04-12,2000,success
T000310,U00724,2025-04-27,2000,success
T000311,U00725,2025-04-13,5000,success
T000312,U00726,2025-04-06,1000,success
T000313,U00730,2025-04-11,20000,success
T000314,U00734,2025-02-28,5000,success
T000315,U00737,2025-04-05,10000,success
T000316,U00739,2025-04-21,1000,success
T000317,U00740,2025-02-03,2000,success
T000318,U00742,2025-04-27,20000,success
T000319,U00748,2025-01-19,1000,success
T000320,U00749,2025-03-04,1000,success
T000321,U00752,2025-04-15,2000,success
T000322,U00754,2025-03-05,20000,success
T000323,U00756,2025-01-22,2000,success
T000324,U00757,2025-03-18,2000,success
T000325,U00761,2025-03-24,5000,success
T000326,U00762,2025-04-09,20000,success
T000327,U00763,2025-02-25,1000,success
T000328,U00765,2025-04-23,1000,success
T000329,U00767,2025-05-01,1000,success
T000330,U00768,2025-03-13,1000,success
T000331,U00771,2025-01-28,2000,success
T000332,U00772,2025-02-26,1000,success
T000333,U00774,2025-04-11,2000,success
T000334,U00775,2025-02-25,2000,success
T000335,U00776,2025-01-27,2000,success
T000336,U00778,2025-02-28,20000,success
T000337,U00782,2025-02-11,1000,success
T000338,U00784,2025-02-10,2000,success
T000339,U00785,2025-01-16,1000,success
T000340,U00786,2025-04-09,2000,success
T000341,U00789,2025-03-30,5000,success
T000342,U00792,2025-03-18,10000,success
T000343,U00795,2025-03-22,2000,success
T000344,U00798,2025-03-02,10000,success
T000345,U00800,2025-01-23,10000,success
T000346,U00802,2025-01-12,1000,success
T000347,U00803,2025-02-17,1000,success
T000348,U00804,2025-01-16,5000,success
T000349,U00807,2025-01-11,20000,success
T000350,U00818,2025-04-23,2000,success
T000351,U00819,2025-03-07,1000,success
T000352,U00823,2025-03-13,10000,success
T000353,U00829,2025-01-31,1000,success
T000354,U00831,2025-03-07,5000,success
T000355,U00837,2025-04-03,1000,success
T000356,U00839,2025-02-08,1000,success
T000357,U00840,2025-03-13,2000,success
T000358,U00843,2025-04-28,5000,success
T000359,U00846,2025-01-25,1000,success
T000360,U00847,2025-04-04,10000,success
T000361,U00848,2025-03-16,1000,success
T000362,U00853,2025-01-05,2000,success
T000363,U00854,2025-03-20,2000,success
T000364,U00855,2025-04-02,10000,success
T000365,U00856,2025-03-05,10000,success
T000366,U00859,2025-01-27,1000,success
T000367,U00860,2025-02-25,1000,success
T000368,U00863,2025-04-29,10000,success
T000369,U00865,2025-02-27,2000,success
T000370,U00866,2025-02-16,2000,success
T000371,U00867,2025-02-16,1000,success
T000372,U00869,2025-02-18,20000,success
T000373,U00871,2025-02-18,20000,success
T000374,U00877,2025-04-14,1000,success
T000375,U00879,2025-04-13,5000,success
T000376,U00880,2025-01-20,10000,success
T000377,U00881,2025-01-22,2000,success
T000378,U00882,2025-02-28,2000,success
T000379,U00883,2025-01-20,2000,success
T000380,U00885,2025-04-19,1000,success
T000381,U00886,2025-02-20,10000,success
T000382,U00887,2025-01-17,2000,success
T000383,U00888,2025-01-15,2000,success
T000384,U00889,2025-02-02,1000,success
T000385,U00891,2025-04-29,10000,success
T000386,U00894,2025-01-07,10000,success
T000387,U00897,2025-03-03,5000,success
T000388,U00899,2025-01-15,20000,success
T000389,U00901,2025-04-10,1000,success
T000390,U00904,2025-04-13,10000,success
T000391,U00905,2025-03-20,5000,success
T000392,U00907,2025-02-01,1000,success
T000393,U00909,2025-01-13,1000,success
T000394,U00917,2025-01-31,2000,success
T000395,U00918,2025-04-08,10000,success
T000396,U00922,2025-03-11,10000,success
T000397,U00923,2025-01-31,5000,success
T000398,U00924,2025-04-30,1000,success
T000399,U00925,2025-03-07,20000,success
T000400,U00926,2025-01-19,2000,success
T000401,U00927,2025-03-18,5000,success
T000402,U00931,2025-03-21,10000,success
T000403,U00932,2025-04-06,1000,success
T000404,U00936,2025-02-16,5000,success
T000405,U00939,2025-03-25,1000,success
T000406,U00943,2025-01-29,1000,success
T000407,U00945,2025-01-12,5000,success
T000408,U00946,2025-02-28,1000,success
T000409,U00947,2025-02-01,2000,success
T000410,U00951,2025-05-03,1000,success
T000411,U00955,2025-03-07,2000,success
T000412,U00957,2025-04-07,1000,success
T000413,U00959,2025-02-21,10000,success
T000414,U00960,2025-01-15,1000,success
T000415,U00964,2025-03-31,10000,success
T000416,U00966,2025-03-03,5000,success
T000417,U00968,2025-02-24,2000,success
T000418,U00969,2025-03-22,10000,success
T000419,U00971,2025-04-08,1000,success
T000420,U00976,2025-04-22,1000,success
T000421,U00981,2025-03-14,1000,success
T000422,U00982,2025-04-09,2000,success
T000423,U00985,2025-01-03,20000,success
T000424,U00998,2025-04-23,1000,success
T000425,U01000,2025-02-22,10000,success
T000426,U01001,2025-02-19,5000,success
T000427,U01002,2025-03-20,1000,success
T000428,U01004,2025-03-06,20000,success
T000429,U01006,2025-04-23,20000,success
T000430,U01007,2025-04-19,20000,success
T000431,U01008,2025-02-07,2000,success
T000432,U01010,2025-04-04,1000,success
T000433,U01014,2025-01-30,2000,success
T000434,U01018,2025-01-05,5000,success
T000435,U01020,2025-01-18,2000,success
T000436,U01021,2025-03-06,5000,success
T000437,U01023,2025-04-22,10000,success
T000438,U01026,2025-04-08,1000,success
T000439,U01027,2025-02-27,2000,success
T000440,U01029,2025-04-23,20000,success
T000441,U01030,2025-02-18,1000,success
T000442,U01032,2025-03-22,2000,success
T000443,U01033,2025-04-15,1000,success
T000444,U01034,2025-03-28,2000,success
T000445,U01041,2025-03-05,2000,success
T000446,U01042,2025-04-10,1000,success
T000447,U01043,2025-02-08,1000,success
T000448,U01045,2025-04-13,5000,success
T000449,U01049,2025-04-04,2000,success
T000450,U01051,2025-03-05,1000,success
T000451,U01053,2025-02-23,10000,success
T000452,U01055,2025-04-08,5000,success
T000453,U01056,2025-04-01,1000,success
T000454,U01058,2025-02-03,10000,success
T000455,U01061,2025-02-26,1000,success
T000456,U01062,2025-03-25,1000,success
T000457,U01067,2025-02-28,10000,success
T000458,U01068,2025-01-18,1000,success
T000459,U01069,2025-03-19,10000,success
T000460,U01076,2025-02-23,10000,success
T000461,U01078,2025-03-20,2000,success
T000462,U01079,2025-04-21,1000,success
T000463,U01083,2025-05-01,1000,success
T000464,U01086,2025-02-24,1000,success
T000465,U01089,2025-03-21,10000,success
T000466,U01090,2025-04-29,2000,success
T000467,U01092,2025-01-09,1000,success
T000468,U01095,2025-01-07,5000,success
T000469,U01098,2025-03-09,1000,success
T000470,U01099,2025-04-10,1000,success
T000471,U01100,2025-03-08,1000,success
T000472,U01102,2025-04-07,10000,success
T000473,U01105,2025-03-05,1000,success
T000474,U01112,2025-02-14,2000,success
T000475,U01118,2025-01-08,1000,success
T000476,U01120,2025-01-15,5000,success
T000477,U01121,2025-04-01,2000,success
T000478,U01122,2025-02-18,1000,success
T000479,U01125,2025-03-25,2000,success
T000480,U01136,2025-04-22,5000,success
T000481,U01137,2025-03-06,1000,success
T000482,U01138,2025-02-22,10000,success
T000483,U01139,2025-03-06,2000,success
T000484,U01140,2025-03-25,5000,success
T000485,U01143,2025-01-02,5000,success
T000486,U01146,2025-04-10,10000,success
T000487,U01149,2025-02-22,2000,success
T000488,U01150,2025-03-01,1000,success
T000489,U01151,2025-03-27,10000,success
T000490,U01152,2025-01-16,10000,success
T000491,U01154,2025-01-31,20000,success
T000492,U01155,2025-04-02,1000,success
T000493,U01157,2025-04-01,5000,success
T000494,U01160,2025-01-27,2000,success
T000495,U01162,2025-03-01,5000,success
T000496,U01166,2025-01-09,20000,success
T000497,U01167,2025-04-25,2000,success
T000498,U01169,2025-04-22,5000,success
T000499,U01170,2025-04-17,2000,success
T000500,U01171,2025-04-25,1000,success
T000501,U01176,2025-04-28,2000,success
T000502,U01181,2025-04-15,1000,success
T000503,U01182,2025-02-01,1000,success
T000504,U01185,2025-03-03,1000,success
T000505,U01188,2025-03-30,2000,success
T000506,U01190,2025-02-15,2000,success
T000507,U01197,2025-01-12,10000,success
T000508,U01198,2025-03-10,2000,success
T000509,U01199,2025-04-16,2000,success
T000510,U01202,2025-04-23,1000,success
T000511,U01203,2025-04-13,10000,success
T000512,U01204,2025-04-24,1000,success
T000513,U01206,2025-02-04,20000,success
T000514,U01210,2025-04-29,2000,success
T000515,U01213,2025-02-12,1000,success
T000516,U01216,2025-01-09,2000,success
T000517,U01221,2025-03-01,1000,success
T000518,U01222,2025-03-01,1000,success
T000519,U01223,2025-03-04,2000,success
T000520,U01226,2025-04-14,5000,success
T000521,U01227,2025-02-05,1000,success
T000522,U01230,2025-01-26,5000,success
T000523,U01231,2025-03-13,10000,success
T000524,U01237,2025-03-20,5000,success
T000525,U01239,2025-03-06,1000,success
T000526,U01240,2025-04-08,1000,success
T000527,U01241,2025-04-10,1000,success
T000528,U01243,2025-02-24,5000,success
T000529,U01248,2025-02-03,5000,success
T000530,U01251,2025-02-10,2000,success
T000531,U01258,2025-03-22,1000,success
T000532,U01259,2025-01-10,1000,success
T000533,U01261,2025-01-11,10000,success
T000534,U01263,2025-04-25,2000,success
T000535,U01264,2025-04-05,20000,success
T000536,U01270,2025-03-09,20000,success
T000537,U01273,2025-01-10,10000,success
T000538,U01274,2025-01-31,1000,success
T000539,U01275,2025-02-25,1000,success
T000540,U01278,2025-01-10,1000,success
T000541,U01279,2025-03-16,20000,success
T000542,U01282,2025-03-13,2000,success
T000543,U01283,2025-01-22,5000,success
T000544,U01284,2025-03-28,20000,success
T000545,U01287,2025-04-28,10000,success
T000546,U01288,2025-01-13,5000,success
T000547,U01293,2025-03-06,1000,success
T000548,U01294,2025-02-12,1000,success
T000549,U01295,2025-02-09,2000,success
T000550,U01298,2025-03-21,20000,success
T000551,U01299,2025-04-20,20000,success
T000552,U01301,2025-02-07,1000,success
T000553,U01302,2025-01-10,1000,success
T000554,U01303,2025-02-24,5000,success
T000555,U01304,2025-05-05,2000,success
T000556,U01305,2025-01-12,1000,success
T000557,U01311,2025-01-13,2000,success
T000558,U01314,2025-03-25,20000,success
T000559,U01315,2025-03-07,20000,success
T000560,U01320,2025-01-11,5000,success
T000561,U01321,2025-03-16,5000,success
T000562,U01326,2025-02-06,1000,success
T000563,U01330,2025-03-11,5000,success
T000564,U01334,2025-02-22,1000,success
T000565,U01336,2025-04-30,1000,success
T000566,U01337,2025-05-05,1000,success
T000567,U01338,2025-03-18,2000,success
T000568,U01344,2025-01-05,10000,success
T000569,U01345,2025-02-12,20000,success
T000570,U01346,2025-03-08,5000,success
T000571,U01354,2025-04-14,5000,success
T000572,U01357,2025-02-01,1000,success
T000573,U01358,2025-02-08,2000,success
T000574,U01360,2025-02-10,5000,success
T000575,U01362,2025-03-28,2000,success
T000576,U01363,2025-03-24,1000,success
T000577,U01366,2025-01-09,5000,success
T000578,U01368,2025-04-22,1000,success
T000579,U01371,2025-01-18,1000,success
T000580,U01373,2025-03-16,2000,success
T000581,U01374,2025-02-13,1000,success
T000582,U01376,2025-01-16,5000,success
T000583,U01378,2025-02-23,5000,success
T000584,U01383,2025-01-18,1000,success
T000585,U01385,2025-01-27,20000,success
T000586,U01388,2025-04-23,10000,success
T000587,U01389,2025-05-01,1000,success
T000588,U01391,2025-03-20,5000,success
T000589,U01392,2025-02-24,2000,success
T000590,U01393,2025-04-18,10000,success
T000591,U01394,2025-04-16,10000,success
T000592,U01396,2025-02-12,1000,success
T000593,U01397,2025-02-24,5000,success
T000594,U01399,2025-01-11,10000,success
T000595,U01400,2025-03-10,2000,success
T000596,U01401,2025-01-08,1000,success
T000597,U01402,2025-02-22,1000,success
T000598,U01403,2025-03-17,1000,success
T000599,U01408,2025-04-25,1000,success
T000600,U01409,2025-01-30,2000,success
T000601,U01412,2025-04-05,1000,success
T000602,U01414,2025-02-01,1000,success
T000603,U01417,2025-02-08,5000,success
T000604,U01418,2025-03-02,20000,success
T000605,U01420,2025-04-14,20000,success
T000606,U01421,2025-01-30,1000,success
T000607,U01423,2025-02-06,10000,success
T000608,U01428,2025-01-11,20000,success
T000609,U01430,2025-04-11,20000,success
T000610,U01434,2025-02-05,10000,success
T000611,U01435,2025-02-18,10000,success
T000612,U01438,2025-04-02,1000,success
T000613,U01439,2025-02-23,1000,success
T000614,U01444,2025-01-09,2000,success
T000615,U01445,2025-02-02,1000,success
T000616,U01446,2025-02-20,20000,success
T000617,U01448,2025-03-22,2000,success
T000618,U01449,2025-02-17,20000,success
T000619,U01453,2025-04-25,10000,success
T000620,U01459,2025-01-31,2000,success
T000621,U01461,2025-01-20,1000,success
T000622,U01462,2025-01-14,1000,success
T000623,U01464,2025-04-17,5000,success
T000624,U01467,2025-03-17,10000,success
T000625,U01468,2025-01-28,20000,success
T000626,U01469,2025-02-18,1000,success
T000627,U01470,2025-04-03,1000,success
T000628,U01471,2025-02-20,1000,success
T000629,U01472,2025-04-22,1000,success
T000630,U01476,2025-04-20,10000,success
T000631,U01478,2025-03-26,1000,success
T000632,U01480,2025-04-09,2000,success
T000633,U01482,2025-04-19,2000,success
T000634,U01484,2025-02-13,2000,success
T000635,U01487,2025-04-14,5000,success
T000636,U01489,2025-03-09,2000,success
T000637,U01490,2025-01-07,2000,success
T000638,U01493,2025-03-17,5000,success
T000639,U01497,2025-02-05,1000,success
T000640,U01500,2025-02-21,5000,success
T000641,U01503,2025-02-12,20000,success
T000642,U01505,2025-03-31,5000,success
T000643,U01506,2025-01-14,2000,success
T000644,U01507,2025-01-25,5000,success
T000645,U01511,2025-01-24,10000,success
T000646,U01512,2025-04-06,2000,success
T000647,U01519,2025-03-07,5000,success
T000648,U01523,2025-02-10,2000,success
T000649,U01525,2025-01-26,10000,success
T000650,U01532,2025-03-02,1000,success
T000651,U01535,2025-02-10,20000,success
T000652,U01543,2025-01-04,5000,success
T000653,U01545,2025-03-28,2000,success
T000654,U01546,2025-04-03,2000,success
T000655,U01547,2025-02-05,2000,success
T000656,U01548,2025-04-04,1000,success
T000657,U01550,2025-02-15,1000,success
T000658,U01552,2025-04-20,2000,success
T000659,U01555,2025-01-27,2000,success
T000660,U01558,2025-02-27,2000,success
T000661,U01560,2025-04-30,1000,success
T000662,U01566,2025-04-19,5000,success
T000663,U01567,2025-01-25,1000,success
T000664,U01572,2025-02-21,1000,success
T000665,U01574,2025-03-23,1000,success
T000666,U01578,2025-01-21,2000,success
T000667,U01583,2025-03-04,1000,success
T000668,U01584,2025-04-20,1000,success
T000669,U01589,2025-01-17,2000,success
T000670,U01590,2025-04-05,1000,success
T000671,U01591,2025-03-30,2000,success
T000672,U01593,2025-02-27,2000,success
T000673,U01596,2025-02-04,10000,success
T000674,U01597,2025-02-05,10000,success
T000675,U01599,2025-02-20,20000,success
T000676,U01601,2025-04-07,2000,success
T000677,U01603,2025-01-18,5000,success
T000678,U01605,2025-01-21,20000,success
T000679,U01607,2025-01-04,2000,success
T000680,U01609,2025-04-27,5000,success
T000681,U01610,2025-02-20,2000,success
T000682,U01611,2025-04-24,2000,success
T000683,U01613,2025-04-30,1000,success
T000684,U01614,2025-04-03,10000,success
T000685,U01618,2025-02-10,20000,success
T000686,U01627,2025-01-06,1000,success
T000687,U01630,2025-03-16,10000,success
T000688,U01632,2025-04-21,1000,success
T000689,U01640,2025-01-11,1000,success
T000690,U01642,2025-01-14,5000,success
T000691,U01646,2025-03-10,1000,success
T000692,U01650,2025-03-18,2000,success
T000693,U01655,2025-02-24,1000,success
T000694,U01656,2025-04-10,5000,success
T000695,U01658,2025-04-24,2000,success
T000696,U01665,2025-02-05,20000,success
T000697,U01667,2025-02-19,5000,success
